journal_short,issn,year,journal,title,authors,doi,url,abstract,type,issue,volume,score,is_referenced_by_count
,0264-9993,2024,Economic Modelling,Supply-chain finance digitalization and corporate financial fraud: Evidence from China,"Jiang, Hui; Peng, Cheng; Ren, Daling",10.1016/j.econmod.2024.106837,https://doi.org/10.1016/j.econmod.2024.106837,,journal-article,,139,13.626993,15
,0264-9993,2025,Economic Modelling,Supply chain risk and capital structure decisions,"Nguyen, Quang Minh Nhi; Do, Trung K.",10.1016/j.econmod.2025.107349,https://doi.org/10.1016/j.econmod.2025.107349,,journal-article,,153,13.424561,2
,0264-9993,2025,Economic Modelling,Do supply chain pressures affect consumer prices in major economies? New evidence from time-varying causality analysis,"Mrabet, Zouhair; Alsamara, Mouyad; Mimouni, Karim; Awwad, Abdulkareem",10.1016/j.econmod.2024.106914,https://doi.org/10.1016/j.econmod.2024.106914,,journal-article,,142,11.953886,12
,0264-9993,2024,Economic Modelling,Global drivers of inflation: The role of supply chain disruptions and commodity price shocks,"Diaz, Elena Maria; Cunado, Juncal; de Gracia, Fernando Perez",10.1016/j.econmod.2024.106860,https://doi.org/10.1016/j.econmod.2024.106860,,journal-article,,140,10.352193,56
,0264-9993,2025,Economic Modelling,"Is AI a key driving force for Chinese total factor productivity growth? Mechanistic analysis of employment, supply chain, and information asymmetry","Xu, Ruifeng; Song, Frank M.",10.1016/j.econmod.2025.107126,https://doi.org/10.1016/j.econmod.2025.107126,,journal-article,,150,8.319748,17
,0264-9993,2024,Economic Modelling,"Consumption externalities, elastic labor supply and wealth distribution","Sanou, Issa",10.1016/j.econmod.2024.106755,https://doi.org/10.1016/j.econmod.2024.106755,,journal-article,,137,7.651665,0
,0264-9993,2025,Economic Modelling,How do labor supply dynamics influence patent protection policies?,"Kushwaha, Rudra Narayan; Ghosh, Taniya",10.1016/j.econmod.2025.107255,https://doi.org/10.1016/j.econmod.2025.107255,,journal-article,,152,7.23481,0
,0264-9993,2025,Economic Modelling,Sustainability of pension systems in the presence of population aging and elderly labor supply,"Fioroni, Tamara",10.1016/j.econmod.2025.107127,https://doi.org/10.1016/j.econmod.2025.107127,,journal-article,,150,7.0502687,1
,0264-9993,2024,Economic Modelling,Disentangling demand and supply inflation shocks from electronic payments data,"Carlomagno, Guillermo; Eterovic, Nicolás; Hernández-Román, Luis G.",10.1016/j.econmod.2024.106871,https://doi.org/10.1016/j.econmod.2024.106871,,journal-article,,141,6.9027753,2
,0264-9993,2024,Economic Modelling,Examining the behaviour of inflation to supply and demand shocks using an MS-VAR model,"Koursaros, Demetris; Michail, Nektarios; Savva, Christos",10.1016/j.econmod.2024.106901,https://doi.org/10.1016/j.econmod.2024.106901,,journal-article,,141,6.694163,8
,0264-9993,2025,Economic Modelling,Fertility policy and household labor supply: Evidence from China's Universal Two-Child Policy,"Dong, Yanfei; Li, Qingyuan",10.1016/j.econmod.2025.107345,https://doi.org/10.1016/j.econmod.2025.107345,,journal-article,,153,6.557628,0
,0264-9993,2025,Economic Modelling,Grandchild care and grandparents’ labor supply,"Chen, Yanran; Lyu, Youji",10.1016/j.econmod.2024.106936,https://doi.org/10.1016/j.econmod.2024.106936,,journal-article,,143,6.427463,7
,0264-9993,2024,Economic Modelling,Does vocational education pay off in China? Evidence from city-level education supply shocks,"Dai, Li; Martins, Pedro S.",10.1016/j.econmod.2024.106863,https://doi.org/10.1016/j.econmod.2024.106863,,journal-article,,140,6.3694305,4
,0264-9993,2024,Economic Modelling,Digitalization through supply chains: Evidence from the customer concentration of Chinese listed companies,"Liu, Rui; Zheng, Linhao; Chen, Zheang; Cheng, Mengyao; Ren, Yuzhuo",10.1016/j.econmod.2024.106688,https://doi.org/10.1016/j.econmod.2024.106688,,journal-article,,134,6.2099795,31
,0264-9993,2025,Economic Modelling,"Elderly labor supply, endogenous grandparental childcare, and fertility in an OLG model","Baldi, Mauro Maria; Coppier, Raffaella; Michetti, Elisabetta",10.1016/j.econmod.2025.107102,https://doi.org/10.1016/j.econmod.2025.107102,,journal-article,,149,5.965702,6
,0264-9993,2025,Economic Modelling,Does economic policy uncertainty impact global value chain participation of Indian firms? The role of financial constraints,"Reddy, Ketan; Sasidharan, Subash; Thangavelu, Shandre Mugan",10.1016/j.econmod.2025.107243,https://doi.org/10.1016/j.econmod.2025.107243,,journal-article,,152,5.6938624,4
,0264-9993,2025,Economic Modelling,Does the supply network shape the firm size distribution? The Japanese case,"Di Guilmi, Corrado; Fujiwara, Yoshi",10.1016/j.econmod.2025.107238,https://doi.org/10.1016/j.econmod.2025.107238,,journal-article,,152,5.1803703,0
,0264-9993,2024,Economic Modelling,Does digital transformation promote global value chain upgrading? Evidence from Chinese manufacturing firms,"Feng, Suling; Zhang, Rong; Di, Danyang; Li, Guoxiang",10.1016/j.econmod.2024.106810,https://doi.org/10.1016/j.econmod.2024.106810,,journal-article,,139,5.1033964,51
,0264-9993,2025,Economic Modelling,Effects of wage compensation and containment policies on Labor supply during pandemics,"Fiorini, Luciana C.; Maldonado, Wilfredo L.",10.1016/j.econmod.2025.107030,https://doi.org/10.1016/j.econmod.2025.107030,,journal-article,,147,4.99287,0
,0264-9993,2024,Economic Modelling,Constrained growth: Does land supply restriction affect manufacturing firm output?,"Zhang, Zebang; Yan, Haosheng; Liu, Ruiming",10.1016/j.econmod.2024.106753,https://doi.org/10.1016/j.econmod.2024.106753,,journal-article,,136,4.959664,7
,0264-9993,2025,Economic Modelling,Does public long-term care insurance affect spousal labor supply? Evidence from China,"Han, Xiao; Liu, Zining; Zheng, Wei",10.1016/j.econmod.2025.107355,https://doi.org/10.1016/j.econmod.2025.107355,,journal-article,,153,4.2399383,0
