journal_short,issn,year,journal,title,authors,doi,url,abstract,type,issue,volume,score,is_referenced_by_count
,0378-5920,2025,The World Economy,Do Supply Chain Disruptions Matter for Global Economic Conditions?,"Ginn, William; Saadaoui, Jamel",10.1111/twec.13713,https://doi.org/10.1111/twec.13713,"<jats:title>ABSTRACT</jats:title><jats:p>The COVID‐19 pandemic and its aftermath exposed the vulnerabilities of global supply chains, leading to widespread delays and shortages that highlighted the interconnectedness of economies. This paper examines the global impact of supply chain disruptions on economic conditions, drawing on literature related to economic uncertainty, global economic integration, and the global supply chain disruptions. Using a Bayesian vector autoregression (BVAR) model, we analyse the effect of supply chain shocks. The empirical findings reveal that these disruptions significantly influence global economic stability, particularly through their impact on aggregate inflation and the policy responses that accompany them.</jats:p>",journal-article,7,48,13.110456,11
,0378-5920,2024,The World Economy,The economic costs of supply chain decoupling,"Attinasi, Maria‐Grazia; Boeckelmann, Lukas; Meunier, Baptiste",10.1111/twec.13655,https://doi.org/10.1111/twec.13655,"<jats:title>Abstract</jats:title><jats:p>As countries and firms increasingly seek ways to strengthen the resilience of their supply chains, this paper studies the global economic costs of a decoupling of global supply chains along geopolitical lines as well as in strategic sectors. We explore not only the long‐run effects but also the short‐run costs stemming from rigid wages and low substitutability across factors of production and input goods. We find that, in terms of welfare losses, the costs of decoupling are roughly five times higher in the short‐run compared with the long‐run, while country losses are heterogeneous. A reshaping of global supply chains increases the level of consumer prices in most countries, as well as producer prices, especially for trade‐intensive manufacturing sectors. Global supply chain decoupling entails also a reallocation of labour across skill levels. Finally, global trade would decrease substantially, driven by lower trade in intermediate inputs and a higher reliance of countries on domestic production.</jats:p>",journal-article,3,48,12.983086,16
,0378-5920,2026,The World Economy,"Supply Chain Tectonics: Empirics on How the
                    <scp>EU</scp>
                    Is Plotting Its Path Through Global Trade Fragmentation","Arjona, Román; Connell, William; Herghelegiu, Cristina",10.1111/twec.70089,https://doi.org/10.1111/twec.70089,"<jats:title>ABSTRACT</jats:title>
                  <jats:p>This paper examines indications of shifts in the European Union's (EU) import relationships in an increasingly fragmented global trade environment. Using highly disaggregated product‐level trade data, we provide an initial exploration of the reallocation of EU import flows over the 2021–2024 period, considering what these emerging patterns may imply for diversification and price developments. The timing of this analysis is relevant given rising geopolitical uncertainties and the parallel rollout of EU initiatives aimed at enhancing internal capacities and mitigating risks in critical supply chains. Our findings indicate that the EU's supply chains show initial signs of adaptability within the evolving global landscape. Despite sectoral differences, our analysis points to a recent overall shift in EU imports away from countries lacking bilateral trade initiatives with the EU towards the EU itself, as well as neighbouring and distant partners engaged in such initiatives. We find indications that this development is associated with higher overall diversification in EU imports across all partners. However, the reallocation seems more focused on a subset of agreement partners, which may partly reflect the gradual adjustment needed to build capacity elsewhere. In addition, we find mixed evidence of short‐term upward pressure on prices. All in all, the paper aims to highlight emerging trends in EU imports and the related challenges of balancing efficiency and resilience.</jats:p>",journal-article,,,12.318445,0
,0378-5920,2024,The World Economy,A better environment at the expense of export growth: A supply‐chain linkage perspective,"Deng, Xinghua; Shu, Li; Wang, Wei",10.1111/twec.13638,https://doi.org/10.1111/twec.13638,"<jats:title>Abstract</jats:title><jats:p>We estimate the impacts of the 2017–2019 Chinese solid waste import ban on export growth through the channel of supply chain linkages. Using Chinese firm‐level transaction data from 2016, we constructed product‐level measures of import ban exposure to capture supply chain linkages. We find that exports with higher import ban exposure experience lower export growth after the import ban policy is implemented. Our results suggest that a 1% increase in exposure to the import ban of a product would lead to a reduction of its export growth by almost 2%. The effects are more prominent when export products have the closest characteristics to the banned solid waste. We also find that importing prices of solid wastes surge after the implementation of the policy, which leads to a higher price for exports that undermines the competitiveness of Chinese exports and results in lower export growth.</jats:p>",journal-article,1,48,10.099675,0
,0378-5920,2024,The World Economy,"Geopolitical risk, supply chains, and global inflation","Asadollah, Omid; Carmy, Linda Schwartz; Hoque, Md. Rezwanul; Yilmazkuday, Hakan",10.1111/twec.13585,https://doi.org/10.1111/twec.13585,"<jats:title>Abstract</jats:title><jats:p>This paper investigates the effects of global geopolitical risks and global supply chain pressures on global inflation for the monthly period of 1999M1–2022M12. The investigation is based on a structural vector autoregression model, where the effects of global oil prices and global monetary policy are controlled for. Four alternative measures of inflation are used, including headline, core, food, and energy inflation. The empirical results show that disruptions in global supply chains are the main drivers of global inflation in the long run as the corresponding shocks explain the lion's share of volatilities in headline inflation (by 32%), core inflation (by 30%), and food inflation (by 22%), followed by oil price shocks and policy rate shocks. In comparison, energy inflation is explained the most by oil price shocks (by 55%) followed by supply chain shocks and policy rate shocks. Positive supply chain pressure and oil price shocks have positive and statistically significant effects on headline inflation even after five years, whereas positive policy rate shocks have negative and statistically significant effects on headline inflation in the long run. In contrast, positive shocks to geopolitical risk result in higher headline inflation only up to one year, with insignificant effects in the long run. Several policy implications follow.</jats:p>",journal-article,8,47,6.435243,105
,0378-5920,2026,The World Economy,Does Global Value Chain Participation Matter for Economic Upgrading? A Nonlinear Insight,"Zou, Tao",10.1111/twec.70061,https://doi.org/10.1111/twec.70061,"<jats:title>ABSTRACT</jats:title>
                  <jats:p>In recent decades, global value chains (GVCs) have come to dominate much of world trade. Participation in GVCs is widely regarded as a key driver of development by enabling countries to climb the value‐added ladder. However, tighter governance structures within GVCs can make these benefits uncertain. This paper investigates the dynamic impact of GVC participation on economic upgrading using a semiparametric smooth coefficient model with panel data from 62 countries over 1995–2018. We uncover a novel N‐shaped nonlinear relationship between GVC participation and economic upgrading, extending beyond the linear or U‐shaped patterns found in earlier research. This relationship reveals three stages: initial learning with rising upgrading effects, an intermediate ‘upgrading trap’ with declining effects, and an advanced breakthrough stage with renewed rise. Decomposing transmission mechanisms shows that while GVC participation imposes output efficiency costs, it enhances upgrading by improving input factor productivities. Critically, forward linkage participation proves more effective than backward linkage for escaping the upgrading trap. Middle‐income countries exhibit the strongest internal input factor efficiency gains from GVC participation alongside the highest dispersion in overall outcomes. These findings offer policy insights for designing openness and industry policies tailored to a country's development stage and GVC position.</jats:p>",journal-article,5,49,6.3364964,0
,0378-5920,2025,The World Economy,Industrial Chain Risk Exposure and Economic Volatility: A Framework Incorporating Foreign‐Invested Enterprises,"Peng, Siyi; Zhong, Daocheng",10.1111/twec.13680,https://doi.org/10.1111/twec.13680,"<jats:title>ABSTRACT</jats:title><jats:p>We introduce a novel accounting framework to assess the risk exposure on both the demand and supply sides of industrial chains incorporating foreign direct investment. The new framework considers the role of foreign‐invested enterprises, their interactions with domestic‐owned firms and their involvement in international trade. Using the AMNE‐ICIO data, we conducted an in‐depth analysis of risk exposure for China's industrial chain and its correlation with economic volatility. Our study yielded four key findings. (1) The trajectories of China's industrial chain risk exposure on both the demand and supply sides generally align, exhibiting a downward trend. Conventional methods without distinction between foreign‐invested enterprises and domestic‐owned firms significantly underestimate China's industrial chain risk exposure. (2) There exists a marked disparity in risk exposure across different countries and sectors, with developed countries and high‐tech manufacturing sectors facing substantially higher risks. (3) As pivotal actors in the global production network, China and the United States hold critical positions in the global industrial chains. (4) Empirical results indicate that, compared to country sectors with lower risk exposure, those facing higher risk exposure prior to the global financial crisis experienced greater economic volatility following the crisis.</jats:p>",journal-article,4,48,6.119451,4
,0378-5920,2026,The World Economy,How Will Geopolitical Risk Play Its Role in the Global Value Chain?,"Tsiong, Sin‐Som (Sergio); Sun, Lin",10.1111/twec.70077,https://doi.org/10.1111/twec.70077,"<jats:title>ABSTRACT</jats:title>
                  <jats:p>The construction of the Global Value Chain (GVC) has benefited the global economy. However, while geopolitical risk has been believed to affect trade and investment volumes, does it truly impact countries' integration into the Global Value Chain? In this article, we develop a theoretical framework to explore the impact of geopolitical risk on GVC participation and how ‘internal’ and ‘external’ forces will moderate it. Then, we construct a geopolitical risk index by applying the bipartite network with a combination of the Fitness and Complexity (FC) algorithm and Matrix‐Estimation exercise. Based on this, we conduct empirical studies based on data encompassing 77 countries from 1995 to 2020. The results show that geopolitical risk indeed hinders the enhancement of GVC participation, but financing convenience actually alleviates such hindrance; meanwhile, political alignment and media attention, as external forces, moderate the negative impact of geopolitical risk on GVC participation, both directly by affecting the geopolitical risk, or by indirectly influencing the alleviating role of financing convenience.</jats:p>",journal-article,5,49,6.0418186,0
,0378-5920,2025,The World Economy,Assessing the Impact of the Trade Facilitation Agreement on Agri‐Food Global Value Chain Integration,"Steinbach, Sandro; Zurita, Carlos",10.1111/twec.13736,https://doi.org/10.1111/twec.13736,"<jats:title>ABSTRACT</jats:title><jats:p>This article assesses the relationship between the Trade Facilitation Agreement (TFA) and agri‐food global value chain (GVC) integration. While the TFA aims to improve cross‐border trade by lowering trade costs, our findings suggest that higher levels of joint TFA implementation are associated with reduced agri‐food GVC flows. Only three of the 12 TFA articles have a positive relationship with agri‐food GVC integration, highlighting substantial variation in the impact of specific trade facilitation measures. Five articles show a negative association, likely reflecting the high costs of TFA implementation. Lasso regularised regressions indicate that the positive relationships observed may be confounded by joint WTO membership. These results emphasise the challenges of implementing trade facilitation measures and provide important considerations for policymakers in future trade negotiations.</jats:p>",journal-article,9,48,5.997909,0
,0378-5920,2025,The World Economy,"Global Value Chain Disruptions During the
                    <scp>COVID</scp>
                    ‐19 Pandemic: Korean Firm‐Level Evidence","Im, Hyejoon",10.1111/twec.13689,https://doi.org/10.1111/twec.13689,"<jats:title>ABSTRACT</jats:title>
                  <jats:p>The COVID‐19 outbreak caused demand and supply shocks. In this study, I analyse Korean annual firm‐level data in the manufacturing sector from 2017 to 2021. Using a difference‐in‐differences approach combined with propensity score matching, I estimate the causal effect of global value chain (GVC) disruptions, which represent indirect supply shocks, on firms' performance, such as sales and exports. After controlling for demand and supply shocks, I find that GVC disruptions did not adversely influence the sales of manufacturing firms participating in GVCs compared with non‐GVC firms. Thus, the sales of GVC firms had greater resilience to GVC shocks during the pandemic than anticipated. However, GVC shocks substantially negatively affected their exports—they declined by approximately 65%. Further, service firms experienced large negative impacts on their exports due to GVC disruptions.</jats:p>",journal-article,5,48,5.9581647,1
