journal_short,issn,year,journal,title,authors,doi,url,abstract,type,issue,volume,score,is_referenced_by_count
,0034-6527,2024,Review of Economic Studies,The Macroeconomics of Supply Chain Disruptions,"Acemoglu, Daron; Tahbaz-Salehi, Alireza",10.1093/restud/rdae038,https://doi.org/10.1093/restud/rdae038,"<jats:title>Abstract</jats:title>
               <jats:p>This paper develops a model to study the macroeconomic implications of supply chain disruptions with three key ingredients: (i) a firm-level network of customized supplier–customer links that generate relationship-specific productivity gains; (ii) bargaining over these relationship-specific surpluses; and (iii) an extensive margin of adjustment, whereby firms decide to form or sever relations with suppliers and customers. We establish equilibrium existence and uniqueness, provide characterization results, and present a number of comparative statics that show how supply chains and aggregate output respond to shocks. We also show that equilibrium supply chains are inefficient and exhibit an inherent fragility: small shocks can lead to discontinuous changes in output, even though the efficient allocation is always continuous in the same shocks. We explore several macroeconomic implications of this fragility.</jats:p>",journal-article,2,92,14.181123,41
,0034-6527,2025,Review of Economic Studies,Supply Chain Disruption and Reorganization: Theory and Evidence From Ukraine’s War,"Korovkin, Vasily; Makarin, Alexey; Miyauchi, Yuhei",10.1093/restud/rdaf080,https://doi.org/10.1093/restud/rdaf080,"<jats:title>Abstract</jats:title>
               <jats:p>How do localized conflicts disrupt supply chains and prompt firms to reorganize them? How do these forces affect firm-level and aggregate economic activity? Using firm-to-firm Ukrainian railway-shipment data before and during the 2014 Russia–Ukraine conflict, we document that firms with prior supplier and buyer exposure to the conflict areas substantially decreased their output. Simultaneously, firms reorganized their production linkages away from partners directly or indirectly exposed to the conflict shock. We build a general-equilibrium production-network model with endogeneous link formation, and we show that our model’s sufficient statistics accurately explains the observed relative decline in firm output once we account for network reorganization. Calibrating our model to the Ukrainian economy, we find that the localized conflict decreased aggregate output in nonconflict areas by 5.5%. This effect increases to 8.4% if we abstract from endogeneous link formation, suggesting that production-network reorganization partially mitigates the detrimental, far-reaching aggregate economic costs of conflicts.</jats:p>",journal-article,,,13.976968,3
,0012-9682,2024,Econometrica,Endogenous Production Networks Under Supply Chain Uncertainty,"Kopytov, Alexandr; Mishra, Bineet; Nimark, Kristoffer; Taschereau-Dumouchel, Mathieu",10.3982/ecta20629,https://doi.org/10.3982/ecta20629,"<jats:p>Supply chain disturbances can lead to substantial increases in production costs. To mitigate these risks, firms may take steps to reduce their reliance on volatile suppliers. We construct a model of endogenous network formation to investigate how these decisions affect the structure of the production network and the level and volatility of macroeconomic aggregates. When uncertainty increases in the model, producers prefer to purchase from more stable suppliers, even though they might sell at higher prices. The resulting reorganization of the network tends to reduce macroeconomic volatility, but at the cost of a decline in aggregate output. The model also predicts that more productive and stable firms have higher Domar weights—a measure of their importance as suppliers—in the equilibrium network. We provide a basic calibration of the model using U.S. data to evaluate the importance of these mechanisms.</jats:p>",journal-article,5,92,13.459152,37
,0022-3808,2023,Journal of Political Economy,Supply Chain Resilience: Should Policy Promote International Diversification or Reshoring?,"Grossman, Gene M.; Helpman, Elhanan; Lhuillier, Hugo",10.1086/725173,https://doi.org/10.1086/725173,,journal-article,12,131,12.2765465,100
,0002-8282,2023,American Economic Review,Does Identity Affect Labor Supply?,"Oh, Suanna",10.1257/aer.20211826,https://doi.org/10.1257/aer.20211826,"<jats:p>How does identity influence economic behavior in the labor market? I investigate this question in rural India, focusing on the effect of caste identity on job-specific labor supply. In a field experiment, laborers choose whether to take up various job offers, which differ in associations with specific castes. Workers are less willing to accept offers that are linked to castes other than their own, especially when those castes rank lower in the social hierarchy. Workers forgo large payments to avoid job offers that conflict with their caste identity, even when these decisions are made in private. (JEL C93, D91, J15, J22, O12, Z13)</jats:p>",journal-article,8,113,7.3459544,52
,0002-8282,2022,American Economic Review,Convex Supply Curves,"Boehm, Christoph E.; Pandalai-Nayar, Nitya",10.1257/aer.20210811,https://doi.org/10.1257/aer.20210811,"<jats:p>We provide evidence that industries' supply curves are convex. To guide our empirical analysis, we develop a model in which capacity constraints at the firm level generate supply curves that are convex in logs at the industry level. The industry's capacity utilization rate is a sufficient statistic for the supply elasticity. Using data on capacity utilization and three different instruments, we estimate the supply curve and find robust evidence for an economically sizable degree of convexity. The nonlinearity we identify has several macroeconomic implications, including that responses to shocks are state dependent and that the Phillips curve is convex. (JEL D21, E22, E23, E32, E62, L60)</jats:p>",journal-article,12,112,7.1315346,51
,0034-6527,2023,Review of Economic Studies,Are Executives in Short Supply? Evidence from Death Events,"Sauvagnat, Julien; Schivardi, Fabiano",10.1093/restud/rdad027,https://doi.org/10.1093/restud/rdad027,"<jats:title>Abstract</jats:title>
               <jats:p>Using exhaustive administrative data on Italian social security records, we construct measures of local labour market thickness for executives that vary by industry and location. We show that firm performance is strongly and persistently affected by executive death, but only in thin local labour markets. The new executives hired after death events in thin local labour markets have lower education levels and are more likely to be replaced. These predictions are consistent with a simple model of executive search in which market thickness determines the arrival rate of applications for executive positions.</jats:p>",journal-article,1,91,7.054613,12
,0012-9682,2024,Econometrica,The Unequal Effects of Pollution on Labor Supply,"Hoffmann, Bridget; Rud, Juan Pablo",10.3982/ecta20484,https://doi.org/10.3982/ecta20484,"<jats:p>We use high‐frequency data on fine particulate matter air pollution (PM 2.5) at the locality level to study the effects of high pollution on daily labor supply decisions in the metropolitan area of Mexico City. We document a negative, non‐linear relationship between PM 2.5 and same‐day labor supply, with strong effects on days with extremely high pollution levels. On these days, the average worker experiences a reduction of around 7.5% of working hours. Workers partially compensate for lost hours by increasing their labor supply on days that follow high‐pollution days. We find that low‐income workers reduce their labor supply significantly less than high‐income workers. Unequal responses to high pollution along other dimensions (job quality, flexibility, gender) matter, but less than income. We provide suggestive evidence that reductions in labor supply due to high pollution are consistent with avoidance behavior.</jats:p>",journal-article,4,92,6.9927526,32
,0033-5533,2024,The Quarterly Journal of Economics,Optimal Resilience in Multitier Supply Chains,"Grossman, Gene M; Helpman, Elhanan; Sabal, Alejandro",10.1093/qje/qjae024,https://doi.org/10.1093/qje/qjae024,"<jats:title>Abstract</jats:title>
               <jats:p>Forward-looking investments determine the resilience of firms’ supply chains. Such investments confer externalities on other firms in the production network. We compare the equilibrium and optimal allocations in a general equilibrium model with an arbitrary number of vertical production tiers. Our model features endogenous investments in protective capabilities, endogenous formation of supply links, and sequential bargaining over quantities and payments between firms in successive tiers. We derive policies that implement the first-best allocation, allowing for subsidies to input purchases, network formation, and investments in protective capabilities. The first-best policies depend only on production function parameters of the pertinent tier. When subsidies to transactions are infeasible, the second-best subsidies for resilience depend on production function parameters throughout the network, and subsidies are larger upstream than downstream whenever the bargaining weights of buyers are nonincreasing along the chain.</jats:p>",journal-article,4,139,6.954296,13
,0002-8282,2022,American Economic Review,Supply Network Formation and Fragility,"Elliott, Matthew; Golub, Benjamin; Leduc, Matthew V.",10.1257/aer.20210220,https://doi.org/10.1257/aer.20210220,"<jats:p>We model the production of complex goods in a large supply network. Each firm sources several essential inputs through relationships with other firms. Individual supply relationships are at risk of idiosyncratic failure, which threatens to disrupt production. To protect against this, firms multisource inputs and strategically invest to make relationships stronger, trading off the cost of investment against the benefits of increased robustness. A supply network is called fragile if aggregate output is very sensitive to small aggregate shocks. We show that supply networks of intermediate productivity are fragile in equilibrium, even though this is always inefficient. The endogenous configuration of supply networks provides a new channel for the powerful amplification of shocks. (JEL D21, G31, L14)</jats:p>",journal-article,8,112,6.900188,139
,0034-6527,2024,Review of Economic Studies,Reservation Raises: The Aggregate Labour Supply Curve at the Extensive Margin,"Mui, Preston; Schoefer, Benjamin",10.1093/restud/rdae021,https://doi.org/10.1093/restud/rdae021,"<jats:title>Abstract</jats:title>
               <jats:p>We measure desired labour supply at the extensive (employment) margin in two representative surveys of the U.S. and German populations. We elicit reservation raises: the percent wage change that renders a given individual indifferent between employment and nonemployment. It is equal to her reservation wage divided by her actual, or potential, wage. The reservation raise distribution is the nonparametric aggregate labour supply curve. Locally, the curve exhibits large short-run elasticities above 3, consistent with business cycle evidence. For larger upward shifts, arc elasticities shrink towards 0.5, consistent with quasi-experimental evidence from tax holidays. Existing models fail to match this nonconstant, asymmetric curve.</jats:p>",journal-article,1,92,6.8587627,3
,0022-3808,2024,Journal of Political Economy,The Microgeography of Housing Supply,"Baum-Snow, Nathaniel; Han, Lu",10.1086/728110,https://doi.org/10.1086/728110,,journal-article,6,132,6.801841,100
,0002-8282,2024,American Economic Review,When Tariffs Disrupt Global Supply Chains,"Grossman, Gene M.; Helpman, Elhanan; Redding, Stephen J.",10.1257/aer.20211519,https://doi.org/10.1257/aer.20211519,"<jats:p> We study unanticipated tariffs in a setting with firm-to-firm supply relationships. Firms conduct costly searches and negotiate with potential suppliers that pass a reservation level of match productivity. Global supply chains form in anticipation of free trade. Then, the home government surprises with an input tariff. This can lead to renegotiation with initial suppliers or search for replacements. Calibrating the model’s parameters to match initial import shares and the estimated responses to the US tariffs imposed on China, we find an overall welfare loss of 0.12 percent of GDP, with substantial contributions from changes in input sourcing and search costs. (JEL D72, F13, F14, L14, O19, P33) </jats:p>",journal-article,4,114,6.723253,108
,0002-8282,2025,American Economic Review,Ownership Concentration and Strategic Supply Reduction,"Doraszelski, Ulrich; Seim, Katja; Sinkinson, Michael; Wang, Peichun",10.1257/aer.20162018,https://doi.org/10.1257/aer.20162018,"<jats:p> We explore the implications of ownership concentration for the recently concluded incentive auction that repurposed spectrum from broadcast TV to mobile broadband usage in the United States. We document significant multilicense ownership of TV stations. We show that in the reverse auction, in which TV stations bid to relinquish their licenses, multilicense owners have an incentive to withhold some TV stations to drive up prices for their remaining TV stations. Using a large-scale valuation and simulation exercise, we find that this strategic supply reduction increases payouts to TV stations by between 13.5 percent and 42.4 percent. (D44, D47, H82, L13, L82, L88) </jats:p>",journal-article,3,115,6.572452,2
,0022-3808,2024,Journal of Political Economy,The Supply-Side Effects of Monetary Policy,"Baqaee, David R.; Farhi, Emmanuel; Sangani, Kunal",10.1086/727287,https://doi.org/10.1086/727287,,journal-article,4,132,6.5094137,41
,0022-3808,2025,Journal of Political Economy,The Effect of Gender Discrimination on Labor Supply,"Gagnon, Nickolas; Bosmans, Kristof; Riedl, Arno",10.1086/733419,https://doi.org/10.1086/733419,,journal-article,3,133,6.486396,13
,0033-5533,2025,The Quarterly Journal of Economics,The Earnings and Labor Supply of U.S. Physicians,"Gottlieb, Joshua D; Polyakova, Maria; Rinz, Kevin; Shiplett, Hugh; Udalova, Victoria",10.1093/qje/qjaf001,https://doi.org/10.1093/qje/qjaf001,"<jats:title>Abstract</jats:title>
               <jats:p>Is government guiding the invisible hand at the top of the labor market? We use new administrative data to measure physicians’ earnings and estimate the influence of health care policies on these earnings, physicians’ labor supply, and the allocation of talent. Combining the administrative registry of U.S. physicians with tax data, Medicare billing records, and survey responses, we find that physicians’ annual earnings average $350,000 and make up 8.6% of national health care spending. Business income makes up one-quarter of earnings and is systematically underreported in survey data. Earnings increase steeply early in the career, and there are major differences across specialties, regions, and firm sizes. The geographic pattern of earnings is unusual compared with other workers. We argue that these patterns reflect policy choices to subsidize demand for physician care, amplified by restrictions on physician entry, especially in certain specialties. Health policy has a major impact on the margin: 25% of physician fee revenue driven by Medicare reimbursements accrues to physicians personally. Physicians earn 8% of public money spent on insurance expansion. These policies in turn affect the type and quantity of medical care physicians supply, retirement timing, and the allocation of talent across specialties.</jats:p>",journal-article,2,140,6.4855657,7
,0002-8282,2023,American Economic Review,When a Doctor Falls from the Sky: The Impact of Easing Doctor Supply Constraints on Mortality,"Okeke, Edward N.",10.1257/aer.20210701,https://doi.org/10.1257/aer.20210701,"<jats:p>This paper describes the results of a policy experiment conducted in coordination with the Nigerian government. In this experiment, some communities were randomly selected to receive a new doctor. These doctors were posted to the local public health center. Prior to their arrival, health care was provided by midlevel health-care providers (MLP). To separate the effect of (ostensibly higher) quality from that of quantity, another group of communities was provided with an additional midlevel provider. A third group of communities received no additional workers. No other inputs were provided. I find a measurable decrease in mortality in communities assigned a doctor but not in communities assigned an MLP, suggesting that quality in the health-care sector is a significant constraint. (JEL I11, I12, O15, O18)</jats:p>",journal-article,3,113,6.3622937,23
,0002-8282,2022,American Economic Review,Supply and Demand in Disaggregated Keynesian Economies with an Application to the COVID-19 Crisis,"Baqaee, David; Farhi, Emmanuel",10.1257/aer.20201229,https://doi.org/10.1257/aer.20201229,"<jats:p> We study supply and demand shocks in a disaggregated model with multiple sectors, multiple factors, input-output linkages, downward nominal wage rigidities, credit-constraints, and a zero lower bound. We use the model to understand how the COVID-19 crisis, an omnibus supply and demand shock, affects output, unemployment, and inflation, and leads to the coexistence of tight and slack labor markets. We show that negative sectoral supply shocks are stagflationary, whereas negative demand shocks are deflationary, even though both can cause Keynesian unemployment. Furthermore, complementarities in production amplify Keynesian spillovers from supply shocks but mitigate them for demand shocks. This means that complementarities reduce the effectiveness of aggregate demand stimulus. In a stylized quantitative model of the United States, we find supply and demand shocks each explain about one-half of the reduction in real GDP from February to May 2020. Although there was as much as 6 percent Keynesian unemployment, this was concentrated in certain markets. Hence, aggregate demand stimulus is one quarter as effective as in a typical recession where all labor markets are slack. (JEL E12, E23, E24, E31, E32, E62, I12) </jats:p>",journal-article,5,112,6.36218,208
,0002-8282,2025,American Economic Review,"Supply, Demand, Institutions, and Firms: A Theory of Labor Market Sorting and the Wage Distribution","Haanwinckel, Daniel",10.1257/aer.20201293,https://doi.org/10.1257/aer.20201293,"<jats:p>This paper examines how workforce composition, labor demand, and minimum wage jointly determine wages through their effects on worker-task assignments, firm wage premiums, and firm-worker sorting. Using an estimated model of monopsonistic local labor markets, it finds that minimum wage hikes and labor demand shocks drove the decline in Brazilian wage inequality from 1998 to 2012. While rising educational attainment compressed skill premiums within firms, it also reallocated skilled workers to high-wage firms, limiting that shock’s effect on inequality. The analysis highlights interactions among exogenous factors, showing that concurrent supply and demand changes attenuated minimum wage impacts. (JEL J22, J23, J24, J31, J38, J42, R23)</jats:p>",journal-article,12,115,6.3174043,0
,0002-8282,2022,American Economic Review,Macroeconomic Implications of COVID-19: Can Negative Supply Shocks Cause Demand Shortages?,"Guerrieri, Veronica; Lorenzoni, Guido; Straub, Ludwig; Werning, Iván",10.1257/aer.20201063,https://doi.org/10.1257/aer.20201063,"<jats:p> Motivated by the effects of the COVID-19 pandemic, we present a theory of Keynesian supply shocks: shocks that reduce potential output in a sector of the economy, but that, by reducing demand in other sectors, ultimately push aggregate activity below potential. A Keynesian supply shock is more likely when the elasticity of substitution between sectors is relatively low, the intertemporal elasticity of substitution is relatively high, and markets are incomplete. Fiscal policy can display a smaller multiplier, but the insurance benefit of fiscal transfers can be enhanced. Firm exits and job destruction can amplify and propagate the shock. (JEL D52, E23, E24, E32, E62, I12, I18) </jats:p>",journal-article,5,112,6.30051,372
,0002-8282,2025,American Economic Review,Fiscal Policy and Credit Supply in a Crisis,"Bonfim, Diana; Ferreira, Miguel A.; Queiró, Francisco; Zhao, Sujiao (Emma)",10.1257/aer.20221499,https://doi.org/10.1257/aer.20221499,"<jats:p> We measure how cuts to public procurement propagate through the banking system in a financial crisis. During the European sovereign debt crisis, the Portuguese government cut procurement spending by 4.3 percent of GDP. We find that this cut saddled banks with nonperforming loans from government contractors, which led to a persistent reduction in credit supply to other firms. We estimate a bank-level elasticity of credit supply with respect to procurement demand of 2.5. In a general equilibrium model, our findings point to large effects of fiscal policy on credit supply and output in a crisis. (JEL E23, E44, E62, G01, G21, H57) </jats:p>",journal-article,6,115,6.2514944,8
,0022-3808,2024,Journal of Political Economy,"Childcare Markets, Parental Labor Supply, and Child Development","Berlinski, Samuel; Ferreyra, Maria Marta; Flabbi, Luca; Martin, Juan David",10.1086/728698,https://doi.org/10.1086/728698,,journal-article,6,132,6.2228355,9
,0002-8282,2024,American Economic Review,Household Labor Supply and the Value of Social Security Survivors Benefits,"Coyne, David; Fadlon, Itzik; Ramnath, Shanthi P.; Tong, Patricia K.",10.1257/aer.20190813,https://doi.org/10.1257/aer.20190813,"<jats:p> We combine quasi-experimental variation in spousal death and age eligibility for survivors benefits using US tax records to study the effects on American households’ labor supply and the design of social security’s survivors insurance. Benefit eligibility at the exact age of 60 induces sharp reductions in the labor supply of newly widowed households, highlighting the value of survivors benefits and the liquidity they provide following the shock. Among eligible widows, the spousal death event induces no increases in labor supply, suggesting little residual need to self-insure. Using theory, we underscore the program’s protective insurance role and its high valuation among survivors. (JEL D12, D91, G22, G51, H55, J16, J22) </jats:p>",journal-article,5,114,6.2032447,5
,0022-3808,2024,Journal of Political Economy,"Estimation of a Life-Cycle Model with Human Capital, Labor Supply, and Retirement","Fan, Xiaodong; Seshadri, Ananth; Taber, Christopher",10.1086/726232,https://doi.org/10.1086/726232,,journal-article,1,132,6.154222,16
